Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Cluster3D_Hub_Z4,uniform_random,0.280,0.009463,6906,6056,2419.4006,5.4835
Cluster3D_Hub_Z4,uniform_random,0.380,0.010155,7306,6499,2596.3299,5.4670
Hier3D_Chiplet_Z1,uniform_random,0.160,0.079456,50920,50852,13.8995,4.2240
Hier3D_Chiplet_Z1,uniform_random,0.200,0.099548,63801,63711,14.1685,4.2553
Cluster3D_Hub_Z4,uniform_random,0.400,0.009406,6810,6020,2797.7551,5.5364
Hier3D_Chiplet_Z1,uniform_random,0.220,0.109567,70205,70123,14.2802,4.2585
Cluster3D_Hub_Z4,uniform_random,0.240,0.010441,7482,6682,1891.8174,5.4238
Cluster3D_Hub_Z4,uniform_random,0.120,0.059722,38312,38222,21.4168,4.5793
Cluster3D_Hub_Z4,uniform_random,0.420,0.009783,7087,6261,2717.0965,5.4582
Cluster3D_Hub_Z4,uniform_random,0.340,0.010439,7431,6681,2849.8776,5.3535
Cluster3D_Hub_Z2,uniform_random,0.460,0.014545,10093,9309,2602.6596,5.5316
Cluster3D_Hub_Z4,uniform_random,0.440,0.010003,7226,6402,2528.4239,5.4577
Cluster3D_Hub_Z4,uniform_random,0.180,0.017025,11716,10896,1041.2173,5.0140
Cluster3D_Hub_Z4,uniform_random,0.480,0.011862,8373,7592,2669.5835,5.3172
Cluster3D_Hub_Z4,uniform_random,0.140,0.069419,44515,44428,25.0289,4.5457
Hier3D_Chiplet_Z1,uniform_random,0.140,0.069480,44515,44467,13.8422,4.2247
Cluster3D_Hub_Z4,uniform_random,0.360,0.010700,7667,6848,2337.3867,5.3854
Hier3D_Chiplet_Z1,uniform_random,0.320,0.159780,102412,102259,17.6014,4.4011
Hier3D_Chiplet_Z1,uniform_random,0.260,0.129764,83161,83049,14.6911,4.2899
Hier3D_Chiplet_Z2,uniform_random,0.020,0.009970,6387,6381,14.6908,4.2009
Cluster3D_Hub_Z4,uniform_random,0.460,0.010473,7510,6703,2915.0355,5.4013
Hier3D_Chiplet_Z1,uniform_random,0.240,0.119614,76649,76553,14.4767,4.2792
Hier3D_Chiplet_Z1,uniform_random,0.100,0.049889,31970,31929,13.7070,4.2200
Hier3D_Chiplet_Z2,uniform_random,0.080,0.039817,25513,25483,14.8194,4.2012
Hier3D_Chiplet_Z1,uniform_random,0.180,0.089631,57428,57364,14.0257,4.2384
Hier3D_Chiplet_Z1,uniform_random,0.300,0.149869,96060,95916,15.7490,4.3571
