Topology,Traffic,InjectionRate,Throughput,PacketsInjected,PacketsReceived,AvgTotalLatency,AvgHops
Hier3D_Chiplet_Z2,uniform_random,0.200,0.099545,63801,63709,15.8051,4.2306
Hier3D_Chiplet_Z2,uniform_random,0.280,0.119914,77081,76745,390.0442,4.1759
Hier3D_Chiplet_Z1,uniform_random,0.440,0.147542,94919,94427,1148.7949,4.1785
Hier3D_Chiplet_Z1,uniform_random,0.480,0.136805,88073,87555,1517.5613,4.1999
Hier3D_Chiplet_Z1,uniform_random,0.460,0.146044,93935,93468,1241.1713,4.1810
Hier3D_Chiplet_Z1,uniform_random,0.420,0.145745,93759,93277,941.8204,4.2166
Hier3D_Chiplet_Z2,uniform_random,0.120,0.059761,38312,38247,14.9991,4.2055
Hier3D_Chiplet_Z2,uniform_random,0.240,0.119597,76649,76542,17.9611,4.2487
Hier3D_Chiplet_Z2,uniform_random,0.300,0.114986,73998,73591,682.0526,4.1715
Hier3D_Chiplet_Z2,uniform_random,0.260,0.119977,77084,76785,241.6141,4.2240
Hier3D_Chiplet_Z2,uniform_random,0.360,0.100544,64882,64348,1571.4162,4.1537
Hier3D_Chiplet_Z2,uniform_random,0.160,0.079448,50920,50847,15.2370,4.2097
Hier3D_Chiplet_Z2,uniform_random,0.400,0.101862,65727,65192,1642.5242,4.1462
Cluster3D_Hub_Z4,uniform_random,0.480,0.015339,10424,9817,2932.2260,5.0447
Hier3D_Chiplet_Z4,uniform_random,0.120,0.059739,38312,38233,18.3082,4.2100
Hier3D_Chiplet_Z4,uniform_random,0.080,0.039816,25513,25482,17.4561,4.1974
Hier3D_Chiplet_Z4,uniform_random,0.100,0.049866,31970,31914,17.8155,4.2172
Hier3D_Chiplet_Z4,uniform_random,0.140,0.069439,44515,44441,19.3551,4.2244
Hier3D_Chiplet_Z2,uniform_random,0.220,0.109561,70205,70119,16.3221,4.2272
Hier3D_Chiplet_Z2,uniform_random,0.380,0.107059,69060,68518,1637.9608,4.1593
Hier3D_Chiplet_Z2,uniform_random,0.340,0.109642,70619,70171,1256.9160,4.1639
Hier3D_Chiplet_Z4,uniform_random,0.160,0.076403,49090,48898,160.5990,4.2525
Hier3D_Chiplet_Z4,uniform_random,0.040,0.019677,12618,12593,17.2175,4.1946
Hier3D_Chiplet_Z2,uniform_random,0.480,0.102098,65869,65343,2343.9044,4.1604
Hier3D_Chiplet_Z2,uniform_random,0.320,0.107581,69275,68852,945.9077,4.2108
Hier3D_Chiplet_Z2,uniform_random,0.500,0.094122,60795,60238,2729.0298,4.2012
Hier3D_Chiplet_Z4,uniform_random,0.180,0.074788,48183,47864,447.6328,4.1707
Hier3D_Chiplet_Z4,uniform_random,0.060,0.029859,19131,19110,17.4120,4.2207
Hier3D_Chiplet_Z4,uniform_random,0.020,0.009969,6387,6380,17.1871,4.2008
Hier3D_Chiplet_Z2,uniform_random,0.460,0.101730,65636,65107,2005.5857,4.1741
Hier3D_Chiplet_Z2,uniform_random,0.420,0.093877,60602,60081,1783.7619,4.1348
Hier3D_Chiplet_Z4,uniform_random,0.240,0.062348,40423,39903,1379.1925,4.1208
Hier3D_Chiplet_Z4,uniform_random,0.200,0.067466,43607,43178,926.4287,4.1713
Hier3D_Chiplet_Z2,uniform_random,0.440,0.101697,65598,65086,1987.5784,4.1277
Hier3D_Chiplet_Z4,uniform_random,0.260,0.058770,38142,37613,2133.0455,4.1920
Hier3D_Chiplet_Z4,uniform_random,0.360,0.056973,36985,36463,2498.9017,4.1506
